id,last_name,marital_status,gender,annual_income, industry ,zip_code,age_at_issue,member_type,add_members,annual_fee,payment_type,status,start_month,start_day,start_year,end_month,end_day,end_year
A02601,Barrett,Married,M,115613.00,Consumer Discretionary,80202.00,28,Gold,3,9000.00,QUARTERLY,CANCELLED,12,31,2009,2,26,2012
A00128,Boyd,Married,M,102874.00,Consumer Staples,80202.00,43,Platinum,2,15000.00,ANNUAL,CANCELLED,12,31,2007,2,26,2010
A00102,Hudson,Married,M,87772.00,Utilities,80202.00,45,Silver,1,7000.00,ANNUAL,CANCELLED,12,31,2007,2,26,2009
A02479,Green,Single,M,81574.00,Consumer Staples,80202.00,26,Silver,0,7000.00,ANNUAL,CANCELLED,12,24,2009,2,21,2012
A02434,Parker,Married,F,90410.00,Real Estate,80202.00,62,Bronze,1,5000.00,SEMI-ANNUAL,CANCELLED,12,9,2009,2,7,2012
A01133,Woods,Married,F,48462.00,Energy,80202.00,36,Gold,3,9000.00,ANNUAL,CANCELLED,12,29,2008,2,26,2010
A02148,Page,Married,M,90171.00,Consumer Staples,80202.00,49,Silver,3,7000.00,ANNUAL,CANCELLED,10,20,2009,12,19,2012
A04898,Gonzalez,Married,M,111065.00,Health Care,80202.00,35,Platinum,1,15000.00,ANNUAL,CANCELLED,10,11,2010,11,8,2012
A04686,Jacobs,Married,M,114428.00,Consumer Discretionary,80202.00,49,Silver,1,7000.00,ANNUAL,CANCELLED,9,9,2010,11,8,2012
A06081,Tyler,Single,M,69769.00,Telecommunication Services,80202.00,22,Silver,0,7000.00,ANNUAL,CANCELLED,11,11,2011,1,9,2013
A04755,Adkins,Married,M,103336.00,Telecommunication Services,80202.00,50,Silver,2,7000.00,ANNUAL,CANCELLED,8,31,2010,10,27,2012
A00936,Brock,Single,M,115486.00,Health Care,80202.00,25,Gold,0,9000.00,MONTHLY,CANCELLED,11,5,2008,3,6,2009
A04326,Rowe,Married,M,103926.00,Consumer Staples,80202.00,55,Bronze,3,5000.00,ANNUAL,CANCELLED,7,30,2010,9,26,2012
A04236,Cohen,Married,M,104903.00,Materials,80202.00,44,Platinum,2,15000.00,ANNUAL,CANCELLED,7,28,2010,9,25,2012
A02151,Maxwell,Single,M,64316.00,Health Care,80202.00,28,Gold,0,9000.00,MONTHLY,CANCELLED,9,30,2009,1,27,2010
A04291,Allen,Married,M,79918.00,Materials,80202.00,47,Platinum,3,15000.00,ANNUAL,CANCELLED,7,28,2010,9,26,2012
A00773,Gregory,Married,M,101686.00,Financials,80202.00,46,Platinum,3,15000.00,SEMI-ANNUAL,CANCELLED,9,22,2008,11,21,2010
A04255,Aguilar,Married,M,113174.00,Unclassified,80202,46,Platinum,2,15000.00,ANNUAL,CANCELLED,7,22,2010,9,20,2012
A04225,Greer,Married,M,100623.00,Materials,80202,64,Bronze,1,5000.00,QUARTERLY,CANCELLED,7,16,2010,9,14,2012
A02051,Hopkins,Married,M,46033.00,Information Technology,80202,36,Gold,3,9000.00,SEMI-ANNUAL,CANCELLED,9,8,2009,5,8,2010
A01956,Blair,Married,M,94495.00,Health Care,80202,37,Platinum,1,15000.00,ANNUAL,CANCELLED,9,7,2009,11,6,2010
A04124,Kim,Married,M,113577.00,Telecommunication Services,80202,58,Platinum,3,15000.00,ANNUAL,CANCELLED,6,28,2010,8,26,2011
